observation_id,universe_id,canonical_group,source_brand_label,canonical_brand_family,canonical_brand_key,source_category,source_subcategory,source_subcategory_id,canonical_sector,canonical_category,canonical_subcategory,reference_period,geography,methodology_cluster,metric,unit,tbi_value,focal_observed_position,focal_observed_brand_count,category_eligible_target_count,category_pending_ownership_target_count,category_observable_target_count,category_observed_target_count,category_explicit_not_available_target_count,category_not_observed_target_count,category_distinct_eligible_groups,category_denominator_status,leadership_eligible,comparison_scope,position_semantics
STD_TBG015_2023,AU018,Unilever Indonesia,Cap Bango,Bango,unilever_indonesia__bango,Makanan dan Minuman,KECAP MANIS,40,Food,Seasonings and Condiments,Sweet Soy Sauce,2023,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,54.3,1,3,3,0,3,3,0,0,3,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG013_2023,AU016,Wings Group,Sedaap,Sedaap,wings_group__sedaap,Makanan dan Minuman,KECAP MANIS,40,Food,Seasonings and Condiments,Sweet Soy Sauce,2023,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,5.7,2,3,3,0,3,3,0,0,3,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG014_2023,AU017,Indofood,Indofood,Indofood,indofood__indofood,Makanan dan Minuman,KECAP MANIS,40,Food,Seasonings and Condiments,Sweet Soy Sauce,2023,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,5.5,3,3,3,0,3,3,0,0,3,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG015_2024,AU018,Unilever Indonesia,Cap Bango,Bango,unilever_indonesia__bango,Makanan dan Minuman,KECAP MANIS,40,Food,Seasonings and Condiments,Sweet Soy Sauce,2024,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,46.2,1,3,3,0,3,3,0,0,3,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG014_2024,AU017,Indofood,Indofood,Indofood,indofood__indofood,Makanan dan Minuman,KECAP MANIS,40,Food,Seasonings and Condiments,Sweet Soy Sauce,2024,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,8.0,2,3,3,0,3,3,0,0,3,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG013_2024,AU016,Wings Group,Sedaap,Sedaap,wings_group__sedaap,Makanan dan Minuman,KECAP MANIS,40,Food,Seasonings and Condiments,Sweet Soy Sauce,2024,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,5.6,3,3,3,0,3,3,0,0,3,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG016_2025,AU018,Unilever Indonesia,BANGO,Bango,unilever_indonesia__bango,Makanan dan Minuman,KECAP MANIS,40,Food,Seasonings and Condiments,Sweet Soy Sauce,2025,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,51.2,1,3,3,0,3,3,0,0,3,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG014_2025,AU017,Indofood,Indofood,Indofood,indofood__indofood,Makanan dan Minuman,KECAP MANIS,40,Food,Seasonings and Condiments,Sweet Soy Sauce,2025,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,5.4,2,3,3,0,3,3,0,0,3,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG013_2025,AU016,Wings Group,Sedaap,Sedaap,wings_group__sedaap,Makanan dan Minuman,KECAP MANIS,40,Food,Seasonings and Condiments,Sweet Soy Sauce,2025,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,3.1,3,3,3,0,3,3,0,0,3,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG010_2026,AU012,Mayora,TORABIKA,Torabika,mayora__torabika,Makanan dan Minuman,KOPI BUBUK INSTANT,8,Beverages,Coffee,Instant Coffee,2026,Indonesia,top_brand_current_documented,TBI,percent_index_points,4.6,1,1,2,1,2,2,0,1,1,blocked_pending_ownership,no,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG010_2024,AU012,Mayora,TORABIKA,Torabika,mayora__torabika,Makanan dan Minuman,KOPI BUBUK INSTANT,8,Beverages,Coffee,Instant Coffee,2024,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,4.1,1,1,2,1,2,2,0,1,1,blocked_pending_ownership,no,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG010_2025,AU012,Mayora,TORABIKA,Torabika,mayora__torabika,Makanan dan Minuman,KOPI BUBUK INSTANT,8,Beverages,Coffee,Instant Coffee,2025,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,6.4,1,1,2,1,2,2,0,1,1,blocked_pending_ownership,no,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
