source_family,source_category,source_subcategory,source_subcategory_id,canonical_sector,canonical_category,canonical_subcategory,methodology_cluster,baseline_period,baseline_incumbent_group,baseline_incumbent_brand,baseline_incumbent_observation_id,baseline_incumbent_tbi,baseline_gap_to_best_other_focal_group,follow_up_period_count,follow_up_periods,incumbent_group_led_follow_up_count,incumbent_group_led_all_follow_ups,incumbent_brand_not_below_best_other_group_all_follow_ups,first_group_lead_loss_period,first_brand_overtake_period,overtaken_by_other_focal_group,final_follow_up_period,final_leader_groups,final_leader_brand_labels,final_incumbent_tbi,final_best_other_focal_group_tbi,final_gap_to_best_other_focal_group,incumbent_gap_change_from_baseline,follow_up_leadership_trace,persistence_semantics,methodology_caveat
Top Brand,Makanan dan Minuman,MINUMAN SARIBUAH DALAM KEMASAN SIAP MINUM,14,Beverages,Fruit Drinks,Ready-to-Drink Fruit Drinks,top_brand_historical_unverified,2022,Unilever Indonesia,Buavita,STD_TBG008_2022,34.9,20.099999999999998,3,2023;2024;2025,3,yes,yes,,,no,2025,Unilever Indonesia,Unilever Indonesia: Buavita,43.1,16.6,26.5,6.400000000000002,2023:Unilever Indonesia; 2024:Unilever Indonesia; 2025:Unilever Indonesia,Persistence is evaluated only against complete focal-group follow-up periods within one historical methodology cluster.,Historical Top Brand methodology is not independently verified.
Top Brand,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,top_brand_historical_unverified,2022,Unilever Indonesia,Lifebuoy,STD_TBG018_2022,40.0,30.1,3,2023;2024;2025,3,yes,yes,,,no,2025,Unilever Indonesia,Unilever Indonesia: Lifebuoy,38.2,6.8,31.400000000000002,1.3000000000000007,2023:Unilever Indonesia; 2024:Unilever Indonesia; 2025:Unilever Indonesia,Persistence is evaluated only against complete focal-group follow-up periods within one historical methodology cluster.,Historical Top Brand methodology is not independently verified.
Top Brand,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN CUP,31,Food,Noodles,Cup Instant Noodles,top_brand_historical_unverified,2022,Indofood,Pop Mie,STD_TBG005_2022,54.2,19.400000000000006,3,2023;2024;2025,1,no,no,2024,2024,yes,2025,Wings Group,Wings Group: Mie Sedaap Cup,24.4,56.9,-32.5,-51.900000000000006,2023:Indofood; 2024:Wings Group; 2025:Wings Group,Persistence is evaluated only against complete focal-group follow-up periods within one historical methodology cluster.,Historical Top Brand methodology is not independently verified.
Top Brand,Makanan dan Minuman,KECAP MANIS,40,Food,Seasonings and Condiments,Sweet Soy Sauce,top_brand_historical_unverified,2022,Unilever Indonesia,Bango,STD_TBG015_2022,58.7,54.300000000000004,3,2023;2024;2025,3,yes,yes,,,no,2025,Unilever Indonesia,Unilever Indonesia: BANGO,51.2,5.4,45.800000000000004,-8.5,2023:Unilever Indonesia; 2024:Unilever Indonesia; 2025:Unilever Indonesia,Persistence is evaluated only against complete focal-group follow-up periods within one historical methodology cluster.,Historical Top Brand methodology is not independently verified.
