file_path,row_count,sha256,description,repository_head
data/standardized/top_brand_observations_long.csv,90,2a3ff25291d96efd8482fb8482c15e0e8343cd101d824b55176795aea83c2516,Long-form Top Brand observations including explicit unavailable cells,b95b9b585c84c31ed78dfe0e9fbca995501fb54f
data/standardized/brand_footprint_facts_standardized.csv,10,72b9038a967a72ced98aadb5b5e6268e268d222011fc85e6324873a7e2081d8a,Standardized limited public Brand Footprint facts,b95b9b585c84c31ed78dfe0e9fbca995501fb54f
data/standardized/performance_observations.csv,100,63b30fca6260ab12acc1a15ec7d96acd945c3a2d80de1416f3ff6cd9d0a9cc53,Combined canonical performance observations without metric pooling,b95b9b585c84c31ed78dfe0e9fbca995501fb54f
metadata/stage2_standardization_validation.csv,24,c1f3ad599ae4e6a4cd8f3c11482c266c27ebb71f7747b67f55ffd4821afee0b7,Stage 2B standardization validation results,b95b9b585c84c31ed78dfe0e9fbca995501fb54f
